2020-08-24,341.5366819256,1585.15,125.8575,3307.46,213.69,58.6088168912,78.4912275379,21.385,49.14,125.68,83.08,42.18,476.3,251.8,30.03,130.69,208.46,100.06,25.5110448916,212.61,152.15,138.51,285.2601316245,131.33,47.5852640845,136.6375468775,60.28,211.3825133864,78.68,84.8053226377,307.5647712483,206.41,343.64,42.22,87.2,6.63,7.86,402.84,276.02,65.4095374515,40.49,4.75,126.3994162958,58.11,376.31,56.89,202.23,168.93,205.12,21.03,135.74,204.49,210.99,23.52,18.98,14.47,19.75,26.94,47.09,29.2357427717,38.84,51.06,141.68,508.6627855335,111.5865348558,198.88,102.47,151.79,43.76,153.24,191.6,245.47,148.58,142.25,88.5169870671,81.95,181.0,111.9,344.13,69.96,14.97,31.04,28.98,28.29,12.05,111.245,282.28,122.88,32.9,83.16,19.46,21.19,2.13,124.51,92.95,86.59,105.83,64.88,594.77,7.67,999.32,448.1,84.34,133.36,63.74,56.4700971217,210.63,466.66
2020-08-25,342.7318411998,1605.85,124.825,3346.49,216.47,57.8809428467,79.6253213198,21.59,49.43,124.64,86.35,41.96,484.43,252.24,29.9,129.79,216.05,100.5,25.8188854489,213.35,152.06,139.06,284.6433529616,130.63,47.5257453052,136.3000231494,60.18,211.412338781,82.72,85.0634516928,310.9308149176,208.1,347.66,40.88,86.13,6.59,7.82,404.668,286.0,65.3798418383,40.55,4.64,121.384435125,60.22,378.5,56.2,203.62,172.59,209.53,21.095,135.63,205.09,216.33,23.53,19.16,14.71,20.24,26.95,47.6131,29.2060618146,38.41,51.65,141.15,509.8524412297,111.267231528,201.67,103.39,155.0,45.1,152.85,194.03,249.51,147.77,140.69,88.3472804267,82.15,181.22,112.28,344.71,71.17,17.84,31.19,29.01,28.57,12.15,113.57,290.44,125.7,34.07,87.24,19.63,21.16,2.125,124.51,94.59,88.92,108.42,66.25,610.5,7.73,1037.19,457.93,83.77,134.15,64.05,57.3483877803,212.01,469.9
2020-08-26,346.1679241131,1644.13,126.5225,3441.85,221.15,58.4093993447,81.3264619927,21.68,49.55,124.17,86.02,42.25,528.49,248.21,29.99,132.18,272.32,99.09,25.3819504644,214.66,152.3,138.39,290.4132178732,130.7,47.7737402191,137.4615018609,60.3,212.5158783815,82.41,84.9244591247,307.5448538301,210.26,351.02,40.01,84.78,6.48,7.87,430.634,291.96,64.9344076395,41.08,4.69,120.9167682301,60.2,381.5,56.91,216.74,182.95,224.14,20.8,140.0,214.41,228.84,23.77,19.19,14.77,20.24,26.9,47.5657,28.7509538053,38.05,50.85,141.83,510.7721750452,111.287187986,203.48,104.98,153.74,44.96,152.71,213.62,265.02,164.28,143.59,88.297366709,81.38,183.36,112.53,344.27,71.21,20.44,32.3,29.52,30.23,12.12,117.11,295.27,127.47,34.31,89.25,19.56,20.98,2.11,125.52,95.23,88.91,110.33,70.5,612.0,7.51,1089.33,487.7,86.28,135.19,63.76,57.41825181,214.57,481.04
2020-08-27,346.9248583201,1628.52,125.01,3400.0,226.58,56.1460101929,80.1824200197,21.33,49.4,124.65,83.8,42.29,510.32,243.11,29.9,133.73,276.32,102.35,25.8685371517,216.87,152.98,138.21,287.1303636993,136.63,47.843178795,137.3920116815,60.4,210.9550160637,83.41,85.2024442609,310.3830859181,211.03,356.0,39.74,84.91,6.48,7.7,447.75,284.17,64.8849149508,40.39,4.65,122.6182796987,63.6,374.84,56.58,215.39,188.31,218.44,20.54,138.76,214.77,227.21,23.81,18.93,14.55,19.9,26.55,47.6909,29.3643602526,37.86,51.72,143.37,504.9838502712,110.5986901853,204.34,103.72,155.61,44.62,150.31,216.63,261.52,160.97,142.9,87.9779189153,82.54,181.24,111.53,346.36,71.11,19.88,32.8,29.7,30.85,11.71,117.13,294.68,127.25,34.49,88.82,19.61,20.61,2.12,132.15,95.12,89.42,110.29,68.03,614.97,6.97,1053.5,480.55,83.54,136.68,62.03,55.4920007063,215.77,474.1
2020-08-28,349.1657819592,1639.43,124.8075,3401.8,228.91,54.1119512195,80.0232489626,22.025,50.43,125.07,85.55,42.2,516.44,247.39,30.04,135.54,271.1,102.77,26.1167956656,218.55,153.64,138.77,284.8025216488,140.3,49.4303462441,138.9207956265,60.15,213.6591851748,85.0,85.0336675711,313.0719373699,215.71,366.12,40.69,85.63,6.61,7.96,442.68,289.0,64.597857356,41.07,4.75,123.265053064,67.45,377.48,57.18,220.42,192.43,207.98,19.94,141.13,215.24,225.91,24.24,19.26,14.74,20.24,26.66,48.82,29.0576570289,37.91,52.28,143.63,525.7578379747,112.29,204.48,104.91,155.93,45.69,150.85,243.88,264.45,172.85,146.09,88.0477981202,83.05,184.39,111.5,348.37,70.32,18.5,33.8,30.77,31.91,12.39,118.64,299.27,129.0,35.34,89.2,21.43,21.19,2.5,131.02,96.14,90.71,110.31,67.49,602.61,6.93,1042.06,487.87,82.98,132.96,63.07,56.52,208.57,485.7
2020-08-31,347.9009050607,1629.53,129.04,3450.96,225.53,54.78,78.8394142253,21.37,50.95,123.31,90.82,42.22,513.39,245.7,29.81,131.87,272.65,100.19,25.5606965944,218.04,153.41,138.33,283.5590162799,138.85,49.1327523474,139.0399216482,59.58,213.52,84.47,84.656402029,311.2594523172,211.99,358.19,39.94,83.93,6.34,7.83,498.32,287.03,66.0727394808,40.58,4.59,121.8919034577,68.25,375.67,55.76,219.33,191.76,215.37,19.14,143.34,223.0,233.8,23.31,19.06,14.7,19.61,26.55,48.28,28.8301030243,37.79,51.12,142.31,534.8252137432,111.89,204.14,104.16,159.56,45.51,151.21,239.71,269.76,173.48,144.44,88.3073494525,82.25,184.83,111.68,347.66,68.34,19.03,33.63,29.67,32.84,12.22,125.73,325.1,124.57,36.79,88.94,21.65,20.4,3.11,135.85,95.5,93.46,114.62,64.89,619.93,6.71,1066.42,482.02,83.55,137.3,61.6,55.97,215.69,481.3
2020-09-01,351.1776334041,1655.08,134.18,3499.12,227.27,53.65,81.1274981713,21.75,50.79,123.4,92.18,42.03,527.95,253.51,29.47,133.55,281.25,100.14,25.5309055728,218.55,151.52,138.18,284.4543401455,147.59,48.7260406886,138.176257991,59.64,212.69,86.05,83.8224466203,311.5382961715,213.35,356.9,39.43,83.08,6.19,7.8,475.05,298.0,65.1620740078,41.15,4.565,122.8769890448,68.28,391.16,57.26,223.59,196.41,224.5,19.03,159.36,268.8,250.72,23.73,19.17,14.85,19.58,26.41,48.94,28.8399966766,36.88,51.2,146.05,552.84,114.84,208.93,105.31,166.66,45.76,150.55,241.75,273.24,179.27,141.28,88.55,82.34,185.05,113.41,351.38,70.51,20.12,34.3,29.43,34.3,12.27,143.69,457.69,126.93,38.36,91.36,22.73,20.42,2.95,135.24,93.23,93.42,113.73,63.32,592.68,6.69,1134.32,497.19,85.77,142.33,61.89,56.82,224.2,501.39
2020-09-02,356.2570603195,1717.39,131.4,3531.45,231.65,55.085,81.7442860176,22.38,52.25,128.18,90.22,42.42,533.8,261.35,29.7,135.39,276.69,101.65,25.83874613,221.68,153.83,140.51,287.2,147.68,50.7794385759,142.2463970654,60.92,216.23,88.35,86.3044567654,318.9176996003,216.48,360.7,39.19,83.19,6.44,7.81,447.37,296.07,66.1123336318,43.67,4.42,121.7824495036,68.11,398.29,60.16,221.79,192.07,230.6,19.55,158.52,265.16,239.53,23.83,19.2,15.0,19.61,25.81,48.9065,29.5127650382,37.2,51.95,149.27,573.86,116.8,210.82,108.86,162.88,47.83,149.84,233.48,264.2,178.32,147.03,88.74,83.84,182.62,117.49,358.86,70.13,19.9,34.37,28.61,33.65,14.12,142.07,423.56,124.26,38.81,90.29,22.21,19.91,2.74,129.7,95.89,93.93,111.38,64.72,610.15,7.29,1074.59,499.69,84.19,141.49,65.08,57.61,223.15,515.005
2020-09-03,343.9967180983,1629.51,120.88,3368.0,217.3,53.16,80.7594151017,21.45,50.39,124.45,82.54,40.95,507.8,242.09,29.59,133.24,265.01,101.33,25.66,218.15,149.55,138.26,274.63,144.54,50.0751330203,139.37,59.79,213.8,86.48,84.8748189218,314.9242572589,208.96,343.84,39.11,82.28,6.32,7.68,407.0,282.5,65.2412623098,41.63,4.16,121.5635415953,67.07,377.87,58.11,206.72,181.78,208.78,17.99,143.45,242.01,221.94,23.53,18.76,14.86,19.31,25.52,48.04,29.087337986,36.4,51.5,146.76,520.62,112.85,204.99,103.1,152.86,46.33,146.03,223.0,248.39,166.9,144.02,88.75,82.8,181.14,110.54,348.3,67.22,18.7,33.41,28.56,30.98,13.52,129.25,381.32,121.42,35.93,85.76,22.09,16.785,2.51,129.8,92.67,85.69,107.77,64.84,577.4,7.07,1015.7,468.84,80.1,129.0,61.46,54.92,203.02,464.65
2020-09-04,341.1880938039,1581.21,120.96,3294.62,214.25,52.54,78.501175729,22.68,50.08,122.3,82.01,40.82,491.94,233.88,29.42,131.99,254.7,103.52,26.54,218.32,148.59,137.96,269.66,142.83,50.6306416275,138.76,59.16,211.73,86.27,84.6266179073,310.7117233178,204.66,335.01,39.08,81.93,6.42,7.88,418.32,281.39,65.3402476873,39.87,4.11,121.1854279356,66.96,361.41,58.8,200.14,175.54,203.44,17.39,134.34,216.26,214.51,23.44,18.84,15.01,19.38,25.82,47.8554,29.4830840811,36.36,52.52,148.18,504.9,112.4,191.84,101.64,146.39,46.48,147.23,215.8,233.5,159.91,137.47,88.23,82.42,181.64,105.94,346.57,67.05,17.98,33.24,28.97,29.07,13.8,125.19,369.89,122.87,34.38,85.04,22.01,15.5,2.51,125.82,90.81,82.02,106.33,62.6,580.36,6.77,973.02,450.35,79.57,126.49,60.96,54.5,198.29,441.26
2020-09-08,331.8658514651,1523.6,112.82,3149.84,202.66,51.53,76.9194133489,20.93,48.91,121.21,78.69,40.0,462.13,224.36,29.51,134.2,241.27,99.92,25.48,217.8,147.26,135.94,269.26,138.45,49.410506651,135.55,59.67,213.58,85.41,82.7303621564,305.9813365045,200.12,329.88,38.18,78.97,6.14,7.46,330.21,270.02,63.489221128,38.19,3.91,121.2053286546,65.67,349.8,56.82,191.89,168.92,197.13,16.7,133.17,205.63,210.72,23.03,18.64,14.8,19.17,26.93,46.3609,28.5827617149,35.93,51.04,148.52,476.52,112.72,185.95,97.69,139.11,45.03,144.0,208.58,226.16,162.63,134.48,88.36,81.39,181.29,102.06,338.86,64.74,17.03,34.32,30.1,29.32,15.22,125.63,350.88,119.31,34.03,81.71,21.24,14.61,2.53,134.47,90.97,81.46,108.27,54.34,561.89,6.72,917.4,443.14,79.98,123.1,55.63,51.29,192.85,420.09
2020-09-09,338.419308152,1547.23,117.32,3268.61,211.29,53.44,78.9886370914,21.82,49.62,122.26,81.91,40.13,479.46,232.78,29.37,133.36,250.43,100.87,25.51,219.63,149.7,138.15,277.04,139.89,49.7874589202,137.11,62.11,215.71,85.86,84.2692084464,310.731640736,204.06,339.64,37.95,80.03,6.16,7.39,366.28,273.15,63.8554670248,39.56,4.0,113.3942964738,67.71,323.93,57.93,196.55,171.37,200.49,17.21,134.19,211.79,215.58,23.48,18.89,15.16,18.97,26.95,46.25,28.8399966766,36.18,51.4,152.69,508.6,114.9,194.6,100.39,144.21,45.15,147.55,210.75,233.11,161.18,140.13,88.3,82.13,183.05,105.56,346.43,66.33,18.09,35.01,29.87,25.24,14.68,128.18,389.65,119.4,35.51,84.65,21.08,14.63,2.43,138.17,95.01,85.25,113.0,56.9,571.15,7.05,949.31,458.2,81.98,128.03,55.2,53.58,200.77,433.04
2020-09-10,332.5431083872,1526.05,113.49,3175.11,205.37,52.32,78.4912275379,21.52,48.96,120.56,78.98,39.57,476.26,228.2,28.91,133.22,247.8,99.83,25.14,217.8,146.91,136.7,272.7,136.81,49.5989827856,134.76,61.09,217.24,84.88,82.9686351304,303.3422785981,201.54,332.88,37.0,78.15,6.0,7.3,371.34,267.55,63.1229752313,38.95,3.79,113.7923108524,68.37,320.0,57.73,192.83,169.72,198.48,17.22,132.61,205.95,209.64,23.53,18.54,14.76,17.38,26.49,45.88,27.8605250914,35.65,50.95,149.86,492.47,114.79,190.09,98.8,141.07,44.87,146.04,207.31,231.17,159.44,139.82,88.32,81.03,182.46,105.46,339.53,64.98,17.74,35.98,29.51,25.9,14.49,129.35,384.48,119.16,34.69,83.87,21.4,13.9,2.29,143.04,95.3,81.8,113.51,57.56,550.1,7.8,934.17,452.98,80.67,126.58,55.12,54.31,198.14,427.11
2020-09-11,332.7124226177,1515.76,112.0,3116.22,204.03,52.77,78.4116420094,21.575,49.28,121.46,76.34,39.88,471.35,227.48,29.0,131.75,243.1,101.07,25.5,217.93,147.78,138.14,276.33,136.7,50.6504812207,135.81,61.98,218.0,85.27,83.8720868232,301.48,200.68,330.15,36.9,77.69,5.95,7.2,372.72,271.61,64.914610564,38.93,3.75,113.2450410818,65.36,313.39,58.57,186.93,167.63,193.66,16.53,128.5,197.94,207.38,23.68,18.67,14.79,17.81,26.76,46.5527,28.0979727484,36.07,51.0,153.83,486.58,118.0,184.0,98.65,137.45,46.09,147.65,206.2,224.41,155.46,142.01,88.41,80.58,182.45,103.65,339.13,66.19,17.97,36.98,30.76,25.66,14.33,126.28,383.0,120.62,34.11,84.74,21.32,14.19,2.35,134.88,95.65,79.98,125.0,59.34,544.75,7.24,914.5,445.9,80.36,121.72,55.0,53.06,189.91,418.64
2020-09-14,337.0946732898,1508.83,115.355,3102.97,205.41,52.3,80.082938109,22.01,49.41,122.09,77.9,40.37,485.91,229.83,29.14,131.25,246.64,102.47,25.75,219.94,148.35,138.63,280.65,137.32,50.71,136.67,61.76,220.56,86.63,84.16,308.57,204.98,338.6,36.66,77.29,6.15,7.4,419.62,274.1,66.34,38.77,3.85,112.6281187949,70.08,313.82,59.43,183.67,168.84,194.69,16.71,130.1,202.95,211.03,24.05,18.75,15.13,18.51,26.91,46.97,29.087337986,37.01,48.15,153.51,514.89,119.28,186.96,101.72,144.4,49.03,148.44,208.41,225.91,157.73,140.82,88.41,82.74,183.89,108.26,342.92,68.46,18.73,37.95,31.97,25.69,14.86,128.5,403.51,121.88,36.32,85.28,22.31,14.55,2.36,143.18,103.15,84.71,120.91,63.67,564.2,7.15,931.83,458.06,84.39,123.5,56.46,54.06,193.36,427.51
2020-09-15,338.7977752555,1535.12,115.54,3156.13,208.78,51.78,85.4052203312,22.02,50.0,122.44,78.93,40.6,497.67,235.87,29.12,131.24,251.68,99.28,25.28,218.94,148.89,138.63,285.58,137.36,51.05,135.62,62.47,222.37,87.71,84.21,307.23,205.39,339.14,36.27,76.35,6.1,7.52,449.76,277.96,66.2,39.09,3.89,113.483849709,72.16,315.49,59.55,185.35,171.02,193.42,17.61,132.64,202.02,213.6,24.11,18.85,15.2,18.45,27.23,47.7447,28.6223363244,36.96,44.81,148.6,519.64,119.27,186.02,102.83,154.5,49.05,149.07,207.63,226.33,168.52,143.15,88.46,83.7,183.45,110.98,343.91,68.98,19.19,37.47,30.23,25.64,15.17,131.45,410.94,124.49,37.61,82.65,22.26,14.96,2.36,146.48,103.1,84.93,118.79,66.88,579.9,7.15,929.39,473.96,88.54,124.43,57.2,54.98,194.71,445.3
2020-09-16,337.453221072,1512.09,112.13,3078.1,205.05,50.42,82.6993123603,22.05,50.37,124.22,76.66,40.42,476.0,230.76,29.24,132.09,250.6,99.7,25.6,219.59,148.4,137.7,281.63,136.26,50.79,134.98,62.22,224.81,88.38,85.57,306.52,205.13,341.85,37.81,78.56,6.75,7.76,441.76,278.14,65.65,39.6,4.03,115.2848647723,71.32,309.99,60.17,182.55,171.17,193.16,17.55,131.06,197.01,205.69,24.23,18.86,14.98,18.16,26.73,47.426,29.77,36.78,46.02,151.11,500.58,118.59,180.91,102.33,151.05,50.21,147.99,205.62,228.74,169.99,144.87,88.44,84.15,183.97,108.3,343.73,68.32,19.01,37.66,30.7,25.3,15.43,131.15,408.17,126.03,37.13,82.65,22.75,15.09,2.535,156.57,102.9,85.63,122.39,68.84,569.15,7.05,885.18,456.01,89.38,124.1,56.47,54.45,193.52,441.31
2020-09-17,334.4852422077,1487.04,110.34,3008.73,202.91,48.64,81.91,21.9,50.32,124.92,76.55,40.37,474.3,226.97,29.07,130.22,244.53,98.56,25.35,218.05,147.17,137.52,279.96,136.69,50.55,133.2,62.47,222.58,86.75,85.64,304.98,205.27,339.43,37.8,78.79,7.05,8.41,423.43,275.72,65.04,39.35,4.02,114.6281410476,68.14,303.11,60.77,177.68,168.25,194.9,17.05,127.21,193.39,208.65,24.16,18.92,14.94,18.15,26.73,47.06,28.7,36.82,45.53,153.87,498.54,116.36,175.79,101.4,145.64,50.98,147.61,203.19,221.87,164.67,141.39,88.44,82.57,182.96,107.56,338.88,66.66,19.3,37.06,31.24,25.3,14.84,128.58,413.125,124.67,36.59,81.02,22.88,15.02,2.5,157.22,100.75,85.14,120.14,67.89,565.0,6.93,870.76,453.8,87.25,127.98,56.34,53.79,199.28,428.77
2020-09-18,330.65,1451.09,106.84,2954.91,200.39,48.61,80.23,21.42,49.89,122.76,74.93,39.81,467.55,225.13,28.93,128.63,242.78,98.35,25.21,218.21,149.18,137.37,275.19,135.29,50.45,131.47,60.9,220.27,84.95,85.81,308.02,202.61,335.26,37.19,78.21,6.88,8.82,442.15,272.41,65.05,40.15,4.02,116.26,67.58,294.76,59.29,174.89,171.14,197.65,16.85,129.1,194.86,214.35,24.02,18.85,14.82,18.06,26.63,47.5605,27.99,36.63,44.86,152.39,487.57,114.66,176.07,100.72,145.01,50.74,148.82,200.45,225.4,160.47,141.19,88.34,80.79,183.2,108.41,335.96,67.02,19.41,37.12,30.59,25.51,14.52,131.43,438.73,124.66,36.88,79.81,23.2,14.82,2.59,149.04,102.5,85.9,121.89,69.87,555.24,7.0,901.34,453.09,85.69,132.37,56.15,53.56,205.43,435.75
